"","Subject","SE","AN","GE","RE","ZA","RZ","FA","WA","MA","V_sum","N_sum","F_sum","Total_sum","age","gender","education","work","study","handedness","colorblind","extraversion","agreeableness","conscientiousness","neuroticism","openness","geselligkeit","durchsetzungsfähigkeit","aktivität","mitgefühl","höflichkeit","zwischenmenschliches_vertrauen","ordnungsliebe","fleiß","verlässlichkeit","ängstlichkeit","niedergeschlagenheit","unbeständigkeit_der_gefühle","ästhetisches_empfinden","intellektuelle_neugierde","kreativer_einfallsreichtum"
"11",99,11,18,13,13,18,19,8,16,13,42,50,37,129,34,"männlich","Bachelor","Berufstätig","Nein","Rechtshändig","Nein",3.08333333333333,3.08333333333333,3.58333333333333,2.58333333333333,4.08333333333333,2,3.25,4,3.25,3.5,2.5,4.25,3,3.5,2.5,2.75,2.5,2.25,5,5
"12",106,16,14,15,20,17,20,16,20,3,45,57,39,141,46,"männlich","Promotion","Berufstätig","Nein","Rechtshändig","Nein",3.5,4,2.75,1.58333333333333,3.83333333333333,3.75,3.5,3.25,4,4,4,2.25,3.25,2.75,2,1.25,1.5,2.5,4.5,4.5
"13",110,15,13,7,11,19,14,8,9,8,35,44,25,104,38,"weiblich","Master","Berufstätig","Nein","Rechtshändig","Nein",2.5,3.91666666666667,3.16666666666667,3.33333333333333,4.08333333333333,2.75,1.25,3.5,4,4.5,3.25,3,2.75,3.75,4.75,2,3.25,4,5,3.25
"14",118,16,16,11,13,9,14,12,8,9,43,36,29,108,57,"männlich","Master","Berufstätig","Nein","Rechtshändig","Nein",3.83333333333333,3.41666666666667,3.91666666666667,2.08333333333333,3.91666666666667,3.5,4.25,3.75,3.5,4,2.75,4,3.25,4.5,2.75,1.5,2,3.5,4.25,4
"15",122,18,16,13,16,20,16,13,11,10,47,52,34,133,40,"weiblich","Promotion","Berufstätig","Nein","Rechtshändig","Nein",2.83333333333333,3.83333333333333,4.08333333333333,2.66666666666667,3.83333333333333,2.75,3,2.75,3.75,4.5,3.25,4.75,3.25,4.25,3,2.25,2.75,4.25,4,3.25
"16",125,10,12,7,7,11,12,10,8,11,29,30,29,88,49,"weiblich","Bachelor","Berufstätig","Nein","Rechtshändig","Nein",3.58333333333333,2.83333333333333,4.75,1.75,4.66666666666667,2.5,4.25,4,2.5,4.25,1.75,5,4.5,4.75,2.5,1.25,1.5,5,4,5
"17",133,11,12,8,9,8,10,13,13,8,31,27,34,92,51,"weiblich","Master","Berufstätig","Nein","Rechtshändig","Nein",3.25,4,4,1.75,4.58333333333333,3.25,3,3.5,4.25,5,2.75,3,4.75,4.25,2.5,1,1.75,5,3.75,5
"18",144,17,18,14,18,15,11,12,8,10,49,44,30,123,53,"weiblich","Bachelor","im Studium","Nein","Rechtshändig","Nein",4,4.08333333333333,3.08333333333333,3.25,4.16666666666667,4.5,3.5,4,5,4,3.25,3,3.25,3,3.25,3,3.5,5,4.25,3.25
"19",145,13,14,13,9,17,13,11,15,16,40,39,42,121,39,"weiblich","Master","Berufstätig","Nein","Rechtshändig","Nein",3.75,3.91666666666667,4.16666666666667,1.75,4.16666666666667,3.25,4,4,3.75,5,3,4.5,3.75,4.25,2.25,1,2,4.25,4.25,4
"20",147,12,13,8,14,15,14,14,13,11,33,43,38,114,60,"männlich","Abitur","Berufstätig","Nein","Rechtshändig","Ja, ich habe folgende Farbsehschwäche:",3.08333333333333,3.08333333333333,3.08333333333333,2.91666666666667,4,3,3.25,3,3.25,2.75,3.25,3.75,2.5,3,2.75,2.75,3.25,4,4,4
"21",148,14,13,8,17,18,12,10,9,4,35,47,23,105,59,"weiblich","Master","Berufstätig","Nein","Rechtshändig","Nein",2.58333333333333,4.41666666666667,4.08333333333333,2.5,3.25,2,3,2.75,5,5,3.25,4.75,3.5,4,3,2.25,2.25,4,4.25,1.5
"22",177,14,16,10,19,15,20,13,16,8,40,54,37,131,44,"männlich","Master","Berufstätig","Nein","Rechtshändig","Nein",3.41666666666667,3.41666666666667,3.41666666666667,2.58333333333333,4.5,3.75,3.25,3.25,4.25,3.25,2.75,4.75,2.25,3.25,2.75,2.5,2.5,4.5,5,4
"23",178,9,9,7,12,15,11,12,11,6,25,38,29,92,44,"männlich","Abitur","ohne Beschäftigung","Nein","Rechtshändig","Nein",2.58333333333333,3.83333333333333,3.25,2.5,3.91666666666667,2.5,2.5,2.75,4.25,4.25,3,3,3.25,3.5,2.75,2.25,2.5,4,3.75,4
"24",180,15,16,14,20,19,19,14,8,12,45,58,34,137,41,"männlich","Promotion","Berufstätig","Nein","Rechtshändig","Nein",3.91666666666667,3.91666666666667,3.75,2.41666666666667,4.5,4,4,3.75,4.5,4.25,3,3.5,3.75,4,2,2,3.25,4,4.75,4.75
"25",184,18,18,16,20,20,20,20,18,11,52,60,49,161,34,"männlich","Promotion","Berufstätig","Nein","Rechtshändig","Nein",4.16666666666667,4.25,4.41666666666667,1.25,4.66666666666667,4,4.25,4.25,3.5,4.75,4.5,4,4.5,4.75,1.25,1.5,1,4,5,5
"26",187,17,15,13,12,12,12,14,6,8,45,36,28,109,49,"männlich","Master","Berufstätig","Nein","Rechtshändig","Nein",3.5,3.91666666666667,3.25,3.16666666666667,3.5,3.5,3,4,4.25,4.25,3.25,3.25,2.5,4,3.75,2.75,3,3.25,3.75,3.5
